id,title,date,thumbnail,views,likes,dislikes,comments
KuYsILv6Fd0,Inside Nate Berkus and Jeremiah Brent’s NYC Townhouse | Open Door | Architectural Digest,2020-04-15T12:00:02.000Z,https://i.ytimg.com/vi/KuYsILv6Fd0/default.jpg,"['527335', '13567', '434', '1016']"
xYF6W6KMyXA,Inside a Precisely Designed Lunar Lander Replica House | Unique Spaces | Architectural Digest,2020-04-07T16:02:11.000Z,https://i.ytimg.com/vi/xYF6W6KMyXA/default.jpg,"['164336', '4245', '94', '234']"
hGkVxIyKnEA,"Inside a $40.5M Estate With a ""Batcave"" Garage | On The Market | Architectural Digest",2020-03-27T16:00:02.000Z,https://i.ytimg.com/vi/hGkVxIyKnEA/default.jpg,"['5734181', '94528', '4250', '9576']"
KXT2O92Ywfg,Inside a Musician's House With a Huge Built-In Amp | Unique Spaces | Architectural Digest,2020-03-25T16:00:03.000Z,https://i.ytimg.com/vi/KXT2O92Ywfg/default.jpg,"['220548', '4652', '139', '319']"
rHyIOIstYRA,Inside Dita Von Teese's Taxidermy-Filled Home | Open Door | Architectural Digest,2020-03-23T16:00:02.000Z,https://i.ytimg.com/vi/rHyIOIstYRA/default.jpg,"['1669636', '58799', '2418', '4353']"
pJesOpxgA3s,Inside a $54M Mansion With a Private Indoor Ice Rink | On The Market | Architectural Digest,2020-03-20T16:00:01.000Z,https://i.ytimg.com/vi/pJesOpxgA3s/default.jpg,"['692392', '10803', '616', '1028']"
AwhBTrzzqeg,Inside Dakota Johnson's Serene Hollywood Home | Open Door | Architectural Digest,2020-03-11T16:00:01.000Z,https://i.ytimg.com/vi/AwhBTrzzqeg/default.jpg,"['8123914', '218100', '3813', '7871']"
yeYCw3KCzSk,Inside a $55M Mansion With a Helicopter Hangar | On The Market | Architectural Digest,2020-02-28T17:00:06.000Z,https://i.ytimg.com/vi/yeYCw3KCzSk/default.jpg,"['698504', '10261', '431', '1164']"
oBWFOnN3uBM,Inside a $50M Bel Air Mansion With a Vintage Bowling Alley | On The Market | Architectural Digest,2020-02-26T17:00:03.000Z,https://i.ytimg.com/vi/oBWFOnN3uBM/default.jpg,"['525393', '11089', '476', '1046']"
vDD1lhHkGxk,Inside Jesse Tyler Ferguson's Elegant NYC Apartment | Open Door | Architectural Digest,2020-02-18T17:00:01.000Z,https://i.ytimg.com/vi/vDD1lhHkGxk/default.jpg,"['824985', '13522', '506', '820']"
xmYsP_N8BIo,Inside A Grain Silo Transformed Into An Urban Oasis | Unique Spaces | Architectural Digest,2020-02-14T17:00:02.000Z,https://i.ytimg.com/vi/xmYsP_N8BIo/default.jpg,"['328251', '8122', '108', '235']"
D-qQneOnJl0,Inside Aaron Paul’s Rustic Riverside Home In Idaho | Open Door | Architectural Digest,2020-02-11T20:00:05.000Z,https://i.ytimg.com/vi/D-qQneOnJl0/default.jpg,"['8229542', '145629', '2291', '12607']"
LJaicOI7mwg,"Kim and Kanye Quiz Each Other On Home Design, Family, and Life | Architectural Digest",2020-02-03T13:00:01.000Z,https://i.ytimg.com/vi/LJaicOI7mwg/default.jpg,"['7000952', '201550', '6030', '10842']"
0deGHRj8CR8,Inside a $6M Mansion With A Mountain In The Backyard | On The Market | Architectural Digest,2020-01-31T17:10:00.000Z,https://i.ytimg.com/vi/0deGHRj8CR8/default.jpg,"['494852', '8020', '331', '866']"
uONJXXw1kyo,Inside a $23M Hollywood Mansion with a Built-In Shark Tank | On the Market | Architectural Digest,2020-01-28T17:00:08.000Z,https://i.ytimg.com/vi/uONJXXw1kyo/default.jpg,"['566338', '9006', '804', '820']"
ieM3GuymwUE,Inside Shay Mitchell's Mediterranean-Inspired Home | Open Door | Architectural Digest,2020-01-27T17:00:01.000Z,https://i.ytimg.com/vi/ieM3GuymwUE/default.jpg,"['5779435', '123953', '1478', '3978']"
2oyNCm_OoSM,Queer Eye's Bobby Berk Reviews Every Renovation From The Show | Architectural Digest,2020-01-23T17:00:08.000Z,https://i.ytimg.com/vi/2oyNCm_OoSM/default.jpg,"['192448', '4020', '106', '146']"
sQTGkLW6fwg,On Riverdale's Set With Madelaine Petsch | Open Door | Architectural Digest,2020-01-22T17:00:06.000Z,https://i.ytimg.com/vi/sQTGkLW6fwg/default.jpg,"['1826166', '61405', '526', '894']"
YQC7OtyHhxU,Inside Tan France’s Handsomely Designed Home | Open Door | Architectural Digest,2019-12-30T17:00:02.000Z,https://i.ytimg.com/vi/YQC7OtyHhxU/default.jpg,"['2321912', '50433', '1209', '2177']"
jMPF1amMB2M,Inside a $38M Beverly Hills Mansion With a 150M Year-Old Dinosaur Fossil | On The Market,2019-12-26T17:00:03.000Z,https://i.ytimg.com/vi/jMPF1amMB2M/default.jpg,"['6556480', '97241', '3089', '12163']"
hJaXjItxL6w,Inside Nyjah Huston's Laguna Beach Mansion and Private Skatepark | Open Door | Architectural Digest,2019-12-23T17:00:12.000Z,https://i.ytimg.com/vi/hJaXjItxL6w/default.jpg,"['3870879', '57516', '1529', '2602']"
-V3DHyTG9uU,Inside a $30M Park Avenue Penthouse With A Rooftop Pool | On The Market | Architectural Digest,2019-12-18T17:00:07.000Z,https://i.ytimg.com/vi/-V3DHyTG9uU/default.jpg,"['727253', '9808', '526', '843']"
yKn3Ur6_w3c,Inside Chelsea Handler's Lively Home With An Outdoor Pizza Oven | Open Door,2019-12-16T17:00:10.000Z,https://i.ytimg.com/vi/yKn3Ur6_w3c/default.jpg,"['2147046', '31734', '1512', '2577']"
BDA6rPA0Fcs,Inside Neil Patrick Harris's Captivating Brownstone Home | Open Door,2019-12-11T17:00:05.000Z,https://i.ytimg.com/vi/BDA6rPA0Fcs/default.jpg,"['1958770', '28952', '1205', '1594']"
COddpjZ0W-s,Inside a $9.5M Hudson River Home With A Lofted Playhouse | On The Market,2019-12-10T17:00:03.000Z,https://i.ytimg.com/vi/COddpjZ0W-s/default.jpg,"['367187', '4508', '956', '796']"
28gPDPby3Po,Inside a Sand Dune Converted Into an Oceanfront Home | Unique Spaces | Architectural Digest,2019-11-27T17:00:05.000Z,https://i.ytimg.com/vi/28gPDPby3Po/default.jpg,"['396259', '6652', '199', '372']"
3aZT951ATYQ,Inside a $25M TriBeCa Penthouse With 360° Views | On The Market | Architectural Digest,2019-11-26T17:25:06.000Z,https://i.ytimg.com/vi/3aZT951ATYQ/default.jpg,"['722498', '12126', '328', '1028']"
